"año","mes","CUENTA CÓDIGO","CUENTA  NOMBRE","APROPIACION INICIAL","MODIFCACIONES  ADICION Y/O DISMINUCION CREDITO","MODIFCACIONES  ADICION Y/O DISMINUCION  CONTRACREDITO","MODIFCACIONES  TRASLADOS CREDITO"," MODIFCACIONES TRASLADOS CONTRACREDITO "," APROPIACION DEFINIFTIVA ","TRAMITE RECAUDOMES","TRAMITE RECAUDO ACUMULADO","SALDO POR RECAUDAR"
"2021","Enero",,"Ingresos","415,516,598,815","31,435,138,856.41","0","0","0","446,951,737,671.41","64,056,043,575.73","64,056,043,575.73","382,895,694,095.68"
"2021","Enero","1","Ingresos Administracion Central","415,516,598,815","31,435,138,856.41","0","0","0","446,951,737,671.41","64,056,043,575.73","64,056,043,575.73","382,895,694,095.68"
"2021","Enero","11","Ingresos Corrientes","261,485,387,281","10,105,741,925","0","0","0","271,591,129,206","27,213,649,369.34","27,213,649,369.34","244,377,479,836.66"
"2021","Enero","1101","Ingresos Tributarios","66,913,624,477","0","0","0","0","66,913,624,477","7,753,598,264.84","7,753,598,264.84","59,160,026,212.16"
"2021","Enero","110101","Impuestos Directos","5,000,000,000","0","0","0","0","5,000,000,000","532,807,608","532,807,608","4,467,192,392"
"2021","Enero","110101100","Impuesto Sobre Vehículos Automotores","5,000,000,000","0","0","0","0","5,000,000,000","532,807,608","532,807,608","4,467,192,392"
"2021","Enero","11010110001","Impuesto Sobre Vehículos Automotores","5,000,000,000","0","0","0","0","5,000,000,000","532,807,608","532,807,608","4,467,192,392"
"2021","Enero","1.10101E+12","Impuesto Sobre Vehículos Automotores","5,000,000,000","0","0","0","0","5,000,000,000","532,807,608","532,807,608","4,467,192,392"
"2021","Enero","1.10101E+14","Impuesto Sobre Vehiculos Automotores","5,000,000,000","0","0","0","0","5,000,000,000","532,807,608","532,807,608","4,467,192,392"
"2021","Enero","110102","Impuestos Indirectos","61,913,624,477","0","0","0","0","61,913,624,477","7,220,790,656.84","7,220,790,656.84","54,692,833,820.16"
"2021","Enero","110102100","Impuesto De Registro","4,508,000,000","0","0","0","0","4,508,000,000","498,837,109","498,837,109","4,009,162,891"
"2021","Enero","11010210001","Impuesto De Registro-Camaras De Comercio","450,800,000","0","0","0","0","450,800,000","41,472,909","41,472,909","409,327,091"
