FECHA;PAÍS;REGIÓN;MUNICIPIO;"DEPARTAMENTO
NO TOCAR";VEREDA;VARIABLE;EVENTO;URL ;;;;;;;;;;;;;;;;;;;;;;;;;
2024-11-29;COLOMBIA;ANDINA;BOGOTA D.C.;BOGOTÁ;N/A;AMENAZAS;Amenazan a funcionarios del INPEC;https://x.com/Indepaz/status/1862482053419188716?t=RtHSdsSgvYizQI2Hji-ZcA&s=08;;;;;;;;;;;;;;;;;;;;;;;;;
2024-11-29;COLOMBIA;AMAZONÍA ORINOQUÍA;GUAMAL;META;N/A;HOMICIDIO;Consternación en Guamal, Meta: niña Sara Camacho, hallada sin vida en su casa, habría sido víctima de abuso por su padrastro;https://www.msn.com/es-co/noticias/other/consternaci%C3%B3n-en-guamal-meta-ni%C3%B1a-sara-camacho-hallada-sin-vida-en-su-casa-habr%C3%ADa-sido-v%C3%ADctima-de-abuso-por-su-padrastro/ar-AA1uYNgo?ocid=BingNewsSerp;;;;;;;;;;;;;;;;;;;;;;;;;
2024-11-29;COLOMBIA;ANDINA;BOGOTA D.C.;BOGOTA;N/A;HURTO;Balacera en Bogotá deja un policía gravemente herido;https://www.bluradio.com/regiones/bogota/balacera-en-bogota-deja-un-policia-gravemente-herido-pr30;;;;;;;;;;;;;;;;;;;;;;;;;
2024-11-29;COLOMBIA;ANDINA;BOGOTA D.C.;BOGOTA;N/A;CORRUPCIÓN ;"Fraude en el sector salud: detectan 10 clínicas ficticias que cobraban sin existir
noviembre 29, 2024";https://www.eldiario.com.co/actualidad/fraude-en-el-sector-salud-detectan-10-clinicas-ficticias-que-cobraban-sin-existir/#google_vignette;;;;;;;;;;;;;;;;;;;;;;;;;
2024-11-30;COLOMBIA;OCCIDENTE / EJE CAFETERO;GUARNE;ANTIOQUIA;N/A;ATAQUE;En medio de un ataque armado en un local comercial, fue herido un concejal de Guarne;https://caracol.com.co/2024/11/30/en-medio-de-un-ataque-armado-en-un-local-comercial-fue-herido-un-concejal-de-guarne/;;;;;;;;;;;;;;;;;;;;;;;;;
2024-11-30;COLOMBIA;SANTANDERES;TOLEDO;NORTE DE SANTANDER;N/A;CORRUPCIÓN ;Por alteración de información en el sistema judicial, fueron capturados cuatro policías;https://caracol.com.co/2024/11/30/por-alteracion-de-informacion-en-el-sistema-judicial-fueron-capturados-cuatro-policias/;;;;;;;;;;;;;;;;;;;;;;;;;
2024-11-30;COLOMBIA;PACÍFICA;PATIA;CAUCA;N/A;ARTEFACTO EXPLOSIVO;Dos policías heridos deja activación de moto con explosivos en la vía Panamericana;https://caracol.com.co/2024/11/30/dos-policias-heridos-deja-activacion-de-moto-con-explosivos-en-la-via-panamericana/;;;;;;;;;;;;;;;;;;;;;;;;;
2024-11-30;COLOMBIA;AMAZONÍA ORINOQUÍA;INÍRIDA;GUAINIA;N/A;CONTRA LOS RECURSOS NATURALES ;Cargos contra exconcejal de Inírida por extracción ilegal de oro en río Atabapo;https://www.bluradio.com/judicial/cargos-contra-exconcejal-de-inirida-por-extraccion-ilegal-de-oro-en-rio-atabapo-so35?s=08;;;;;;;;;;;;;;;;;;;;;;;;;
2024-11-29;COLOMBIA;PACÍFICA;BUENAVENTURA;VALLE DEL CAUCA;N/A;ENFRENTAMIENTO;Fuerzas Militares dieron golpe al ELN: abatieron a alias Modesto, peligroso cabecilla con más de 12 años de historial criminal;https://www.infobae.com/colombia/2024/11/29/fuerzas-militares-dieron-golpe-al-eln-abatieron-a-alias-modesto-peligroso-cabecilla-con-mas-de-12-anos-de-historial-criminal/;;;;;;;;;;;;;;;;;;;;;;;;;
2024-11-30;COLOMBIA;CARIBE;SABANALARGA;ATLÁNTICO;N/A;FEMINICIDIO;"Presunto feminicidio en Sabanalarga: mujer habría muerto por asfixia; pareja es sospechoso";https://www.bluradio.com/regiones/caribe/presunto-feminicidio-en-sabanalarga-mujer-habria-muerto-por-asfixia-pareja-es-sospechoso-rg10?s=08;;;;;;;;;;;;;;;;;;;;;;;;;
