NOTICIA;FECHA_ACTUACION;ACTUACION;DESCRIPCION_ACTUACION
NTC_000001;2024-01-30;SOLICITUD DE MEDIDA;Se llevó a cabo audiencia de legalización de captura y formulación de imputación.
NTC_000001;2024-03-03;DILIGENCIA DE INSPECCIÓN;Se solicitó prueba pericial de medicina legal.
NTC_000001;2024-04-29;AUDIENCIA INICIAL;El fiscal solicitó la imposición de medida de aseguramiento.
NTC_000002;2023-07-22;TRASLADO A FISCAL;Se expidió auto de apertura a juicio oral.
NTC_000002;2023-09-19;TRASLADO A FISCAL;El fiscal solicitó la imposición de medida de aseguramiento.
NTC_000002;2023-08-27;AUDIENCIA INICIAL;Se solicitó prueba pericial de medicina legal.
NTC_000002;2023-11-16;DILIGENCIA DE INSPECCIÓN;Se practicó inspección al lugar de los hechos.
NTC_000002;2024-03-14;TRASLADO A FISCAL;Se practicó inspección al lugar de los hechos.
NTC_000003;2022-04-08;AUDIENCIA INICIAL;El fiscal solicitó la imposición de medida de aseguramiento.
NTC_000003;2022-05-21;AUTO FORMULACIÓN;Se practicó inspección al lugar de los hechos.
NTC_000003;2022-06-07;AUTO FORMULACIÓN;Se realizó diligencia de entrevista con la víctima.
NTC_000004;2021-10-06;TRASLADO A FISCAL;El despacho ordenó traslado del expediente para continuidad del proceso.
NTC_000004;2021-10-24;TRASLADO A FISCAL;El despacho programó audiencia preparatoria.
NTC_000004;2021-11-05;AUTO FORMULACIÓN;Se notificó a las partes sobre el nuevo fiscal de conocimiento.
NTC_000004;2022-02-24;TRASLADO A FISCAL;Se notificó a las partes sobre el nuevo fiscal de conocimiento.
NTC_000005;2021-88-77;TRASLADO A FISCAL;El despacho ordenó traslado del expediente para continuidad del proceso.
NTC_000005;2023-08-13;TRASLADO A FISCAL;Se expidió auto de apertura a juicio oral.
NTC_000006;2022-09-09;TRASLADO A FISCAL;El despacho ordenó traslado del expediente para continuidad del proceso.
NTC_000006;2022-10-30;SOLICITUD DE MEDIDA;Se radicó escrito de acusación ante el juez competente.
NTC_000007;2022-03-01;AUDIENCIA INICIAL;Se practicó inspección al lugar de los hechos.
NTC_000007;2022-04-08;SOLICITUD DE MEDIDA;Se radicó escrito de acusación ante el juez competente.
NTC_000007;2022-05-02;DILIGENCIA DE INSPECCIÓN;Se realizó diligencia de entrevista con la víctima.
NTC_000007;2022-08-16;DILIGENCIA DE INSPECCIÓN;Se expidió auto de apertura a juicio oral.
NTC_000007;2022-05-12;TRASLADO A FISCAL;El despacho programó audiencia preparatoria.
NTC_000008;2024-02-15;DILIGENCIA DE INSPECCIÓN;Se solicitó prueba pericial de medicina legal.
NTC_000008;2024-03-11;AUDIENCIA INICIAL;El despacho ordenó traslado del expediente para continuidad del proceso.
NTC_000008;2024-04-23;SOLICITUD DE MEDIDA;Se radicó escrito de acusación ante el juez competente.
NTC_000008;2024-04-15;TRASLADO A FISCAL;Se realizó diligencia de entrevista con la víctima.
NTC_000009;2023-11-21;SOLICITUD DE MEDIDA;Se solicitó prueba pericial de medicina legal.
NTC_000009;2023-12-20;AUDIENCIA INICIAL;Se expidió auto de apertura a juicio oral.
NTC_000009;2024-02-13;AUTO FORMULACIÓN;Se radicó escrito de acusación ante el juez competente.
NTC_000010;2021-88-77;SOLICITUD DE MEDIDA;Se notificó a las partes sobre el nuevo fiscal de conocimiento.
NTC_000010;2022-12-04;DILIGENCIA DE INSPECCIÓN;El despacho programó audiencia preparatoria.
NTC_000010;2022-11-03;SOLICITUD DE MEDIDA;Se practicó inspección al lugar de los hechos.
